"product_key","product_name","category","subcategory","cost","last_sale_date","recency_in_months","product_segment","lifespan","total_orders","total_sales","total_quantity","total_customers","avg_selling_price","avg_order_revenue","avg_monthly_revenue"
40,"Road-650 Black- 60","Bikes","Road Bikes",487,"2012-12-12","148","High-Performer","22","76","285780","380","76","752.0","3760","12990.000000000000"
41,"Road-650 Black- 62","Bikes","Road Bikes",487,"2012-12-18","148","High-Performer","23","65","245235","325","65","754.0","3772","10662.391304347826"
42,"Road-650 Red- 44","Bikes","Road Bikes",487,"2012-12-25","148","High-Performer","23","72","272640","360","72","757.0","3786","11853.913043478261"
43,"Road-650 Red- 48","Bikes","Road Bikes",487,"2012-12-27","148","High-Performer","23","88","333600","440","88","758.0","3790","14504.347826086957"
44,"Road-650 Red- 52","Bikes","Road Bikes",487,"2012-12-21","148","High-Performer","23","61","230415","305","61","755.0","3777","10018.0434782608695652"
45,"Road-650 Red- 58","Bikes","Road Bikes",487,"2012-12-18","148","High-Performer","22","74","281730","370","74","761.0","3807","12805.909090909091"
46,"Road-650 Red- 60","Bikes","Road Bikes",487,"2012-12-23","148","High-Performer","22","53","200355","265","53","756.0","3780","9107.0454545454545455"
47,"Road-650 Red- 62","Bikes","Road Bikes",487,"2012-12-05","148","High-Performer","22","75","286905","375","75","765.0","3825","13041.136363636364"
48,"Road-250 Red- 44","Bikes","Road Bikes",1519,"2012-12-25","148","High-Performer","11","144","1758960","720","144","2443.0","12215","159905.454545454545"
49,"Road-250 Red- 48","Bikes","Road Bikes",1519,"2012-12-24","148","High-Performer","11","162","1978830","810","162","2443.0","12215","179893.636363636364"
50,"Road-250 Red- 52","Bikes","Road Bikes",1519,"2012-12-25","148","High-Performer","11","133","1624595","665","133","2443.0","12215","147690.454545454545"
104,"Mountain Bottle Cage","Accessories","Bottles and Cages",4,"2014-01-28","135","High-Performer","13","2025","101700","10170","2004","10.0","50","7823.0769230769230769"
105,"Road Bottle Cage","Accessories","Bottles and Cages",3,"2014-01-25","135","High-Performer","12","1711","76995","8555","1699","9.0","45","6416.2500000000000000"
106,"Mountain-500 Black- 40","Bikes","Mountain Bikes",295,"2013-12-13","136","High-Performer","11","48","129600","240","48","540.0","2700","11781.818181818182"
107,"Mountain-500 Black- 42","Bikes","Mountain Bikes",295,"2013-12-25","136","High-Performer","11","49","132300","245","49","540.0","2700","12027.272727272727"
108,"Mountain-500 Black- 44","Bikes","Mountain Bikes",295,"2013-12-25","136","High-Performer","11","58","156600","290","58","540.0","2700","14236.363636363636"
109,"Mountain-500 Black- 48","Bikes","Mountain Bikes",295,"2013-12-26","136","High-Performer","11","56","151200","280","56","540.0","2700","13745.454545454545"
110,"Mountain-500 Black- 52","Bikes","Mountain Bikes",295,"2013-12-24","136","High-Performer","11","41","110700","205","41","540.0","2700","10063.6363636363636364"
111,"Mountain-500 Silver- 40","Bikes","Mountain Bikes",308,"2013-12-26","136","High-Performer","11","45","127125","225","45","565.0","2825","11556.818181818182"
112,"Mountain-500 Silver- 42","Bikes","Mountain Bikes",308,"2013-12-27","136","High-Performer","11","45","127125","225","45","565.0","2825","11556.818181818182"
113,"Mountain-500 Silver- 44","Bikes","Mountain Bikes",308,"2013-12-25","136","High-Performer","11","39","110175","195","39","565.0","2825","10015.9090909090909091"
114,"Mountain-500 Silver- 48","Bikes","Mountain Bikes",308,"2013-12-27","136","High-Performer","11","50","141250","250","50","565.0","2825","12840.909090909091"
115,"Mountain-500 Silver- 52","Bikes","Mountain Bikes",308,"2013-12-25","136","High-Performer","11","48","135600","240","48","565.0","2825","12327.272727272727"
116,"Mountain-400-W Silver- 38","Bikes","Mountain Bikes",420,"2013-12-27","136","High-Performer","11","148","569060","740","148","769.0","3845","51732.727272727273"
117,"Mountain-400-W Silver- 40","Bikes","Mountain Bikes",420,"2013-12-24","136","High-Performer","11","128","492160","640","128","769.0","3845","44741.818181818182"
118,"Mountain-400-W Silver- 42","Bikes","Mountain Bikes",420,"2013-12-27","136","High-Performer","11","129","496005","645","129","769.0","3845","45091.363636363636"
119,"Mountain-400-W Silver- 46","Bikes","Mountain Bikes",420,"2013-12-24","136","High-Performer","11","138","530610","690","138","769.0","3845","48237.272727272727"
120,"Mountain-200 Black- 38","Bikes","Mountain Bikes",1252,"2013-12-28","136","High-Performer","23","581","6462795","2905","564","2224.0","11123","280991.086956521739"
121,"Mountain-200 Black- 42","Bikes","Mountain Bikes",1252,"2013-12-28","136","High-Performer","23","614","6815640","3070","604","2220.0","11100","296332.173913043478"
122,"Mountain-200 Black- 46","Bikes","Mountain Bikes",1252,"2013-12-27","136","High-Performer","23","620","6867270","3100","600","2215.0","11076","298576.956521739130"
123,"Mountain-200 Silver- 38","Bikes","Mountain Bikes",1266,"2013-12-28","136","High-Performer","23","596","6696970","2980","583","2247.0","11236","291172.608695652174"
124,"Mountain-200 Silver- 42","Bikes","Mountain Bikes",1266,"2013-12-28","136","High-Performer","23","560","6286840","2800","547","2245.0","11226","273340.869565217391"
125,"Mountain-200 Silver- 46","Bikes","Mountain Bikes",1266,"2013-12-28","136","High-Performer","23","579","6493545","2895","566","2243.0","11215","282328.043478260870"
126,"Road-750 Black- 44","Bikes","Road Bikes",344,"2013-12-28","136","High-Performer","11","360","972000","1800","360","540.0","2700","88363.636363636364"
127,"Road-750 Black- 48","Bikes","Road Bikes",344,"2013-12-28","136","High-Performer","11","363","980100","1815","363","540.0","2700","89100.000000000000"
128,"Road-750 Black- 52","Bikes","Road Bikes",344,"2013-12-28","136","High-Performer","12","386","1042200","1930","386","540.0","2700","86850.000000000000"
129,"Road-750 Black- 58","Bikes","Road Bikes",344,"2013-12-28","136","High-Performer","11","334","901800","1670","334","540.0","2700","81981.818181818182"
130,"Road-550-W Yellow- 38","Bikes","Road Bikes",713,"2013-12-26","136","High-Performer","23","270","1468800","1350","267","1088.0","5440","63860.869565217391"
131,"Road-550-W Yellow- 40","Bikes","Road Bikes",713,"2013-12-28","136","High-Performer","23","266","1449400","1330","264","1089.0","5448","63017.391304347826"
132,"Road-550-W Yellow- 42","Bikes","Road Bikes",713,"2013-12-26","136","High-Performer","23","306","1672200","1530","303","1092.0","5464","72704.347826086957"
133,"Road-550-W Yellow- 44","Bikes","Road Bikes",713,"2013-12-27","136","High-Performer","23","287","1561000","1435","286","1087.0","5439","67869.565217391304"
134,"Road-550-W Yellow- 48","Bikes","Road Bikes",713,"2013-12-27","136","High-Performer","22","261","1418400","1305","258","1086.0","5434","64472.727272727273"
135,"Road-350-W Yellow- 40","Bikes","Road Bikes",1083,"2013-12-27","136","High-Performer","11","246","2092230","1230","246","1701.0","8505","190202.727272727273"
136,"Road-350-W Yellow- 42","Bikes","Road Bikes",1083,"2013-12-27","136","High-Performer","11","235","1998675","1175","235","1701.0","8505","181697.727272727273"
137,"Road-350-W Yellow- 44","Bikes","Road Bikes",1083,"2013-12-27","136","High-Performer","11","216","1837080","1080","216","1701.0","8505","167007.272727272727"
138,"Road-350-W Yellow- 48","Bikes","Road Bikes",1083,"2013-12-25","136","High-Performer","11","232","1973160","1160","232","1701.0","8505","179378.181818181818"
139,"Road-250 Black- 44","Bikes","Road Bikes",1555,"2013-12-27","136","High-Performer","23","271","3141920","1355","266","2318.0","11593","136605.217391304348"
140,"Road-250 Black- 48","Bikes","Road Bikes",1555,"2013-12-28","136","High-Performer","23","298","3456065","1490","289","2319.0","11597","150263.695652173913"
141,"Road-250 Black- 52","Bikes","Road Bikes",1555,"2013-12-25","136","High-Performer","23","319","3672125","1595","312","2302.0","11511","159657.608695652174"
142,"Road-250 Black- 58","Bikes","Road Bikes",1555,"2013-12-26","136","High-Performer","23","270","3110130","1350","265","2303.0","11519","135223.043478260870"
143,"Road-250 Red- 58","Bikes","Road Bikes",1555,"2013-12-27","136","High-Performer","23","306","3513330","1530","301","2296.0","11481","152753.478260869565"
144,"Touring-3000 Blue- 44","Bikes","Touring Bikes",461,"2013-12-28","136","High-Performer","11","53","196630","265","53","742.0","3710","17875.454545454545"
145,"Touring-3000 Blue- 50","Bikes","Touring Bikes",461,"2013-12-23","136","High-Performer","11","48","178080","240","48","742.0","3710","16189.090909090909"
146,"Touring-3000 Blue- 54","Bikes","Touring Bikes",461,"2013-12-17","136","High-Performer","11","55","204050","275","55","742.0","3710","18550.000000000000"
147,"Touring-3000 Blue- 58","Bikes","Touring Bikes",461,"2013-12-27","136","High-Performer","11","57","211470","285","57","742.0","3710","19224.545454545455"
148,"Touring-3000 Blue- 62","Bikes","Touring Bikes",461,"2013-12-23","136","High-Performer","10","64","237440","320","64","742.0","3710","23744.000000000000"
149,"Touring-3000 Yellow- 44","Bikes","Touring Bikes",461,"2013-12-28","136","High-Performer","10","59","218890","295","59","742.0","3710","21889.000000000000"
150,"Touring-3000 Yellow- 50","Bikes","Touring Bikes",461,"2013-12-27","136","High-Performer","11","59","218890","295","59","742.0","3710","19899.090909090909"
151,"Touring-3000 Yellow- 54","Bikes","Touring Bikes",461,"2013-12-09","136","High-Performer","10","48","178080","240","48","742.0","3710","17808.000000000000"
152,"Touring-3000 Yellow- 58","Bikes","Touring Bikes",461,"2013-12-27","136","High-Performer","11","47","174370","235","47","742.0","3710","15851.818181818182"
153,"Touring-3000 Yellow- 62","Bikes","Touring Bikes",461,"2013-12-26","136","High-Performer","11","50","185500","250","50","742.0","3710","16863.636363636364"
154,"Touring-2000 Blue- 46","Bikes","Touring Bikes",755,"2013-12-27","136","High-Performer","11","97","589275","485","97","1215.0","6075","53570.454545454545"
155,"Touring-2000 Blue- 50","Bikes","Touring Bikes",755,"2013-12-27","136","High-Performer","11","106","643950","530","106","1215.0","6075","58540.909090909091"
156,"Touring-2000 Blue- 54","Bikes","Touring Bikes",755,"2013-12-28","136","High-Performer","11","88","534600","440","88","1215.0","6075","48600.000000000000"
157,"Touring-2000 Blue- 60","Bikes","Touring Bikes",755,"2013-12-28","136","High-Performer","11","81","492075","405","81","1215.0","6075","44734.090909090909"
158,"Touring-1000 Blue- 46","Bikes","Touring Bikes",1482,"2013-12-23","136","High-Performer","11","177","2109840","885","177","2384.0","11920","191803.636363636364"
159,"Touring-1000 Blue- 50","Bikes","Touring Bikes",1482,"2013-12-28","136","High-Performer","11","150","1788000","750","150","2384.0","11920","162545.454545454545"
160,"Touring-1000 Blue- 54","Bikes","Touring Bikes",1482,"2013-12-27","136","High-Performer","11","160","1907200","800","160","2384.0","11920","173381.818181818182"
161,"Touring-1000 Blue- 60","Bikes","Touring Bikes",1482,"2013-12-27","136","High-Performer","11","147","1752240","735","147","2384.0","11920","159294.545454545455"
162,"Touring-1000 Yellow- 46","Bikes","Touring Bikes",1482,"2013-12-28","136","High-Performer","11","172","2050240","860","170","2384.0","11920","186385.454545454545"
163,"Touring-1000 Yellow- 50","Bikes","Touring Bikes",1482,"2013-12-23","136","High-Performer","11","151","1799920","755","150","2384.0","11920","163629.090909090909"
164,"Touring-1000 Yellow- 54","Bikes","Touring Bikes",1482,"2013-12-27","136","High-Performer","11","158","1883360","790","158","2384.0","11920","171214.545454545455"
165,"Touring-1000 Yellow- 60","Bikes","Touring Bikes",1482,"2013-12-23","136","High-Performer","11","140","1668800","700","140","2384.0","11920","151709.090909090909"
166,"AWC Logo Cap","Clothing","Caps",7,"2014-01-28","135","High-Performer","12","2190","98550","10950","2132","9.0","45","8212.5000000000000000"
168,"Bike Wash - Dissolver","Accessories","Cleaners",3,"2014-01-28","135","Mid-Range","12","908","36360","4545","875","8.0","40","3030.0000000000000000"
174,"Fender Set - Mountain","Accessories","Fenders",8,"2014-01-28","135","High-Performer","12","2121","233310","10605","2110","22.0","110","19442.500000000000"
233,"Half-Finger Gloves- L","Clothing","Gloves",9,"2014-01-28","135","High-Performer","12","443","53160","2215","437","24.0","120","4430.0000000000000000"
234,"Half-Finger Gloves- M","Clothing","Gloves",9,"2014-01-28","135","High-Performer","12","499","59880","2495","488","24.0","120","4990.0000000000000000"
235,"Half-Finger Gloves- S","Clothing","Gloves",9,"2014-01-25","135","High-Performer","12","487","58440","2435","478","24.0","120","4870.0000000000000000"
244,"Sport-100 Helmet- Black","Accessories","Helmets",13,"2014-01-28","135","High-Performer","13","2085","364875","10425","2024","35.0","175","28067.307692307692"
245,"Sport-100 Helmet- Blue","Accessories","Helmets",13,"2014-01-28","135","High-Performer","13","2124","371875","10625","2049","35.0","175","28605.769230769231"
246,"Sport-100 Helmet- Red","Accessories","Helmets",13,"2014-01-28","135","High-Performer","13","2230","390250","11150","2147","35.0","175","30019.230769230769"
247,"Hydration Pack - 70 oz.","Accessories","Hydration Packs",21,"2014-01-28","135","High-Performer","12","733","201575","3665","719","55.0","275","16797.916666666667"
248,"Long-Sleeve Logo Jersey- L","Clothing","Jerseys",38,"2014-01-28","135","High-Performer","13","452","113250","2265","449","50.0","250","8711.5384615384615385"
249,"Long-Sleeve Logo Jersey- M","Clothing","Jerseys",38,"2014-01-28","135","High-Performer","13","442","110500","2210","436","50.0","250","8500.0000000000000000"
250,"Long-Sleeve Logo Jersey- S","Clothing","Jerseys",38,"2014-01-28","135","High-Performer","12","429","107250","2145","426","50.0","250","8937.5000000000000000"
251,"Long-Sleeve Logo Jersey- XL","Clothing","Jerseys",38,"2014-01-28","135","High-Performer","12","413","103500","2070","409","50.0","250","8625.0000000000000000"
259,"Patch Kit/8 Patches","Accessories","Tires and Tubes",1,"2014-01-28","135","Mid-Range","12","3189","31890","15945","2948","2.0","10","2657.5000000000000000"
260,"Hitch Rack - 4-Bike","Accessories","Bike Racks",45,"2014-01-28","135","High-Performer","12","327","196200","1635","324","120.0","600","16350.000000000000"
272,"Women's Mountain Shorts- L","Clothing","Shorts",26,"2014-01-28","135","High-Performer","12","363","127050","1815","363","70.0","350","10587.5000000000000000"
273,"Women's Mountain Shorts- M","Clothing","Shorts",26,"2014-01-26","135","High-Performer","12","352","123200","1760","352","70.0","350","10266.6666666666666667"
274,"Women's Mountain Shorts- S","Clothing","Shorts",26,"2014-01-28","135","High-Performer","12","304","106400","1520","304","70.0","350","8866.6666666666666667"
275,"Short-Sleeve Classic Jersey- L","Clothing","Jerseys",42,"2014-01-26","135","High-Performer","12","374","100980","1870","372","54.0","270","8415.0000000000000000"
276,"Short-Sleeve Classic Jersey- M","Clothing","Jerseys",42,"2014-01-27","135","High-Performer","12","407","109890","2035","404","54.0","270","9157.5000000000000000"
277,"Short-Sleeve Classic Jersey- S","Clothing","Jerseys",42,"2014-01-28","135","High-Performer","12","406","109620","2030","402","54.0","270","9135.0000000000000000"
278,"Short-Sleeve Classic Jersey- XL","Clothing","Jerseys",42,"2014-01-28","135","High-Performer","12","409","110430","2045","405","54.0","270","9202.5000000000000000"
279,"Racing Socks- L","Clothing","Socks",3,"2014-01-27","135","Mid-Range","12","270","12150","1350","269","9.0","45","1012.5000000000000000"
280,"Racing Socks- M","Clothing","Socks",3,"2014-01-28","135","Mid-Range","12","298","13410","1490","295","9.0","45","1117.5000000000000000"
281,"All-Purpose Bike Stand","Accessories","Bike Stands",59,"2014-01-28","135","High-Performer","13","249","197955","1245","243","159.0","795","15227.307692307692"
282,"LL Mountain Tire","Accessories","Tires and Tubes",9,"2014-01-28","135","High-Performer","12","860","107750","4310","828","25.0","125","8979.1666666666666667"
283,"ML Mountain Tire","Accessories","Tires and Tubes",11,"2014-01-28","135","High-Performer","12","1160","174000","5800","1160","30.0","150","14500.000000000000"
284,"HL Mountain Tire","Accessories","Tires and Tubes",13,"2014-01-28","135","High-Performer","13","1395","244300","6980","1395","35.0","175","18792.307692307692"
285,"LL Road Tire","Accessories","Tires and Tubes",8,"2014-01-28","135","High-Performer","13","1043","109515","5215","1029","21.0","105","8424.2307692307692308"
286,"ML Road Tire","Accessories","Tires and Tubes",9,"2014-01-28","135","High-Performer","12","925","115625","4625","890","25.0","125","9635.4166666666666667"
287,"HL Road Tire","Accessories","Tires and Tubes",12,"2014-01-28","135","High-Performer","13","858","141570","4290","820","33.0","165","10890.000000000000"
288,"Touring Tire","Accessories","Tires and Tubes",11,"2014-01-25","135","High-Performer","12","935","135575","4675","920","29.0","145","11297.916666666667"
289,"Mountain Tire Tube","Accessories","Tires and Tubes",2,"2014-01-28","135","High-Performer","13","3092","77325","15465","2958","5.0","25","5948.0769230769230769"
290,"Road Tire Tube","Accessories","Tires and Tubes",1,"2014-01-28","135","Mid-Range","13","2375","47500","11875","2225","4.0","20","3653.8461538461538462"
291,"Touring Tire Tube","Accessories","Tires and Tubes",2,"2014-01-28","135","Mid-Range","13","1487","37175","7435","1410","5.0","25","2859.6153846153846154"
292,"Classic Vest- L","Clothing","Vests",24,"2014-01-28","135","High-Performer","12","195","62400","975","195","64.0","320","5200.0000000000000000"
293,"Classic Vest- M","Clothing","Vests",24,"2014-01-27","135","High-Performer","12","199","63680","995","199","64.0","320","5306.6666666666666667"
294,"Classic Vest- S","Clothing","Vests",24,"2014-01-28","135","High-Performer","12","168","54720","855","168","64.0","325","4560.0000000000000000"
295,"Water Bottle - 30 oz.","Accessories","Bottles and Cages",2,"2014-01-28","135","High-Performer","13","4244","106225","21245","4073","5.0","25","8171.1538461538461538"
